Zip,City,State,Latitude,Longitude
80216,Denver,CO,39.7846,-104.9621
80924,Breckenridge,CO,39.5278,-106.0394
80232,Denver,CO,39.6904,-105.0887
80425,Buffalo Creek,CO,39.3611,-105.2247
80514,Dacono,CO,40.0835,-104.9358
80534,Johnstown,CO,40.3354,-104.9148
81212,Canon City,CO,38.4642,-105.2797
80007,Arvada,CO,39.8334,-105.1859
80547,Timnath,CO,40.5290,-104.9808
80825,Kit Carson,CO,38.7657,-102.7889
81079,Colorado City,CO,37.9519,-104.8582
81523,Glade Park,CO,38.9589,-108.8513
81623,Carbondale,CO,39.3355,-107.1882
80949,Colorado Springs,CO,38.8247,-104.5620
81224,Crested Butte,CO,38.8653,-106.9656
81410,Austin,CO,38.7905,-107.9740
80435,Dillon,CO,39.6075,-105.9794
81024,Boncarbo,CO,37.2299,-104.7106
80221,Denver,CO,39.8165,-105.0112
81640,Maybell,CO,40.5943,-108.3997
80042,Aurora,CO,39.8080,-104.4079
80912,Colorado Springs,CO,38.8247,-104.5620
81040,Gardner,CO,37.7780,-105.2007
81414,Cory,CO,38.7887,-107.9862
81335,Yellow Jacket,CO,37.5082,-108.7831
81303,Durango,CO,37.2223,-107.6531
80509,Colorado Springs,CO,38.8287,-104.8406
80105,Deer Trail,CO,39.6317,-104.0159
81416,Delta,CO,38.7339,-108.0822
80126,Littleton,CO,39.5445,-104.9681
80223,Denver,CO,39.6992,-105.0000
80809,Cascade,CO,38.9117,-104.9873
80123,Littleton,CO,39.6161,-105.0739
80217,Denver,CO,39.7388,-104.4083
80827,Lake George,CO,39.0320,-105.4685
80006,Arvada,CO,39.5220,-105.2239
80721,Amherst,CO,40.6816,-102.1666
81655,Wolcott,CO,39.7312,-106.6271
80108,Castle Rock,CO,39.4538,-104.8854
80222,Denver,CO,39.6692,-104.9277
81052,Lamar,CO,38.0876,-102.6186
80303,Boulder,CO,39.9891,-105.2288
80139,Parker,CO,39.5147,-104.7441
80018,Aurora,CO,39.6892,-104.7166
80729,Grover,CO,40.8775,-104.2271
81227,Monarch,CO,38.5458,-106.2434
80614,Eastlake,CO,39.8080,-104.4079
80733,Hillrose,CO,40.3405,-103.5120
80000,Aurora,CO,39.6696,-104.7731
80030,Westminster,CO,39.8309,-105.0374
80279,Denver,CO,39.7388,-104.4083
80453,Idledale,CO,39.6684,-105.2442
80254,Denver,CO,39.7388,-104.4083
81020,Aguilar,CO,37.4000,-104.6602
81128,Chromo,CO,37.0865,-106.7549
81428,Paonia,CO,38.8777,-107.5880
80041,Aurora,CO,39.7388,-104.4083
80026,Lafayette,CO,40.0022,-105.1004
81133,Fort Garland,CO,37.3757,-105.3729
80155,Englewood,CO,39.7388,-104.4083
81090,Walsh,CO,37.3470,-102.2678
81005,Pueblo,CO,38.2359,-104.6697
81240,Penrose,CO,38.4395,-105.0211
81030,Cheraw,CO,38.1079,-103.5111
80465,Morrison,CO,39.6207,-105.1812
81023,Beulah,CO,38.0694,-104.9561
81527,Whitewater,CO,38.8332,-108.5816
80306,Boulder,CO,40.1022,-105.3847
81120,Antonito,CO,37.0864,-106.0833
80132,Monument,CO,39.0987,-104.8684
80652,Roggen,CO,40.0951,-104.2878
80648,Nunn,CO,40.7469,-104.7621
80913,Colorado Springs,CO,38.7439,-104.7639
81401,Montrose,CO,38.4364,-107.8625
80151,Englewood,CO,39.7388,-104.4083
81435,Telluride,CO,37.9329,-107.8887
80160,Littleton,CO,39.7388,-104.4083
81231,Gunnison,CO,38.7023,-106.9402
80802,Arapahoe,CO,38.8348,-102.1746
80801,Anton,CO,39.7275,-103.1036
80930,Colorado Springs,CO,38.8114,-104.5040
81601,Glenwood Springs,CO,39.5333,-107.3211
80061,Westminster,CO,39.8623,-105.0720
80469,Phippsburg,CO,40.2184,-106.9449
80810,Cheyenne Wells,CO,38.8470,-102.3791
80241,Denver,CO,39.9296,-104.9493
81424,Nucla,CO,38.2955,-108.5016
81646,Molina,CO,39.1399,-108.0050
80511,Estes Park,CO,40.6281,-105.5692
81427,Ouray,CO,38.0164,-107.6744
80535,Laporte,CO,40.6707,-105.1739
80726,Crook,CO,40.8883,-102.7882
80040,Aurora,CO,39.8080,-104.4079
80480,Walden,CO,40.6216,-106.2446
81129,Conejos,CO,37.1011,-106.0265
81647,New Castle,CO,39.5671,-107.5497
80754,Stoneham,CO,40.6860,-103.6574
80104,Castle Rock,CO,39.3851,-104.8596
80603,Lochbuie,CO,39.9438,-104.6297
80960,Colorado Springs,CO,38.8247,-104.5620
80307,Boulder,CO,40.0878,-105.3735
81628,El Jebel,CO,39.3979,-107.0892
80481,Ward,CO,40.1061,-105.4804
81657,Vail,CO,39.6346,-106.3708
81652,Silt,CO,39.5085,-107.6687
81642,Meredith,CO,39.3424,-106.6344
80942,Colorado Springs,CO,38.8247,-104.5620
80204,Denver,CO,39.7347,-105.0197
80902,Colorado Springs,CO,38.9424,-104.8071
80209,Denver,CO,39.7065,-104.9670
80024,Dupont,CO,39.8447,-104.9185
80429,Climax,CO,39.2258,-106.3117
80701,Fort Morgan,CO,40.2264,-103.8063
80540,Lyons,CO,40.2530,-105.3376
80904,Colorado Springs,CO,38.8506,-104.8648
81225,Crested Butte,CO,38.9016,-106.9676
80244,Denver,CO,39.7388,-104.4083
80035,Westminster,CO,39.8080,-104.4079
80479,Toponas,CO,40.0413,-106.8557
81237,Ohio City,CO,38.5908,-106.6028
80744,Ovid,CO,40.8881,-102.3726
81067,Rocky Ford,CO,38.0421,-103.7223
80624,Gill,CO,40.4812,-104.5151
80749,Sedgwick,CO,40.8685,-102.5460
80296,Sherrelwood,CO,39.8324,-104.9875
80274,Denver,CO,39.7439,-104.9876
80911,Colorado Springs,CO,38.7468,-104.7232
80021,Broomfield,CO,39.8816,-105.0995
81323,Dolores,CO,37.5153,-108.4520
80439,Evergreen,CO,39.6426,-105.3681
81321,Cortez,CO,37.3450,-108.6036
81137,Ignacio,CO,37.0993,-107.6422
80834,Seibert,CO,39.3158,-102.8857
80133,Palmer Lake,CO,39.1134,-104.9049
80271,Denver,CO,39.7388,-104.4083
80908,Colorado Springs,CO,39.0352,-104.6958
80211,Denver,CO,39.7675,-105.0197
80476,Silver Plume,CO,39.6960,-105.7316
80434,Cowdrey,CO,40.9230,-106.3310
81620,Avon,CO,39.6330,-106.5153
80150,Englewood,CO,39.7388,-104.4083
80860,Victor,CO,38.7193,-105.1243
80611,Briggsdale,CO,40.5814,-104.2692
80533,Hygiene,CO,40.1815,-105.2327
80031,Westminster,CO,39.8668,-105.0414
80036,Westminster,CO,39.8080,-104.4079
81220,Cimarron,CO,38.3216,-107.4166
80997,Colorado Springs,CO,38.8247,-104.5620
80229,Denver,CO,39.8596,-104.9594
80210,Denver,CO,39.6794,-104.9647
80755,Vernon,CO,39.9409,-102.3642
80101,Agate,CO,39.3787,-104.0241
81506,Grand Junction,CO,39.1060,-108.5468
80013,Aurora,CO,39.6591,-104.7791
80456,Jefferson,CO,39.3108,-105.7403
81046,Hoehne,CO,37.2796,-104.3584
80502,Longmont,CO,40.0878,-105.3735
80516,Erie,CO,40.0511,-105.0277
81230,Gunnison,CO,38.4641,-106.9578
80027,Louisville,CO,39.9633,-105.1505
80461,Leadville,CO,39.2318,-106.3140
80304,Boulder,CO,40.0398,-105.2794
80471,Pinecliffe,CO,39.9474,-105.4593
80630,Greeley,CO,40.4051,-104.8005
81248,Sargents,CO,38.4110,-106.4781
80644,Kersey,CO,40.3638,-104.5196
80125,Littleton,CO,39.4794,-105.0671
80214,Denver,CO,39.7455,-105.0625
80642,Hudson,CO,40.0605,-104.6294
80829,Manitou Springs,CO,38.8537,-104.9349
80220,Denver,CO,39.7344,-104.9168
80263,Denver,CO,39.7388,-104.4083
80750,Snyder,CO,40.3821,-103.6094
80933,Colorado Springs,CO,38.9394,-105.0118
81057,McClave,CO,38.1361,-102.8833
81415,Crawford,CO,38.6361,-107.5932
81625,Craig,CO,40.5661,-107.6082
80163,Littleton,CO,39.3479,-104.9947
80265,Denver,CO,39.7388,-104.4083
80549,Wellington,CO,40.7623,-105.0123
80203,Denver,CO,39.7313,-104.9831
80821,Hugo,CO,39.0209,-103.4805
81054,Las Animas,CO,38.0374,-103.1863
80120,Littleton,CO,39.5997,-105.0066
81019,Colorado City,CO,37.8873,-104.6136
81122,Bayfield,CO,37.3297,-107.5903
80012,Aurora,CO,39.6984,-104.8396
81143,Moffat,CO,38.1425,-105.9158
80137,Watkins,CO,39.7497,-104.6081
80633,Greeley,CO,40.5009,-104.3150
80651,Platteville,CO,40.2285,-104.8427
81151,Sanford,CO,37.2335,-105.7477
80231,Denver,CO,39.6817,-104.8834
81432,Ridgway,CO,38.1314,-107.7732
80929,Colorado Springs,CO,38.8311,-104.6518
80731,Haxtun,CO,40.5939,-102.5883
81043,Hartman,CO,38.1199,-102.2195
81131,Crestone,CO,37.9458,-105.6971
80045,Aurora,CO,39.7467,-104.8384
81648,Rangely,CO,40.0114,-108.7753
80264,Denver,CO,39.7425,-104.9856
80437,Evergreen,CO,39.5220,-105.2239
80022,Commerce City,CO,39.8366,-104.9039
80224,Denver,CO,39.6884,-104.9135
80246,Denver,CO,39.7053,-104.9311
81247,Gunnison,CO,38.4575,-107.2921
80746,Paoli,CO,40.6106,-102.4722
81239,Parlin,CO,38.6186,-106.5481
80488,Steamboat Springs,CO,40.6197,-106.8607
80270,Denver,CO,39.7388,-104.4083
80443,Frisco,CO,39.5325,-106.1403
80530,Frederick,CO,40.1042,-104.9358
81038,Fort Lyon,CO,37.9555,-103.0725
81504,Grand Junction,CO,39.0855,-108.4902
80161,Littleton,CO,39.7388,-104.4083
80601,Brighton,CO,39.9733,-104.8241
80115,Aurora,CO,39.6366,-104.8209
80135,Sedalia,CO,39.3410,-105.0540
81503,Grand Junction,CO,39.0592,-108.5831
80129,Littleton,CO,39.5396,-105.0097
80631,Greeley,CO,40.4218,-104.6918
80524,Fort Collins,CO,40.6070,-105.0511
80468,Parshall,CO,39.9677,-106.1621
80249,Denver,CO,39.7937,-104.7391
80943,Colorado Springs,CO,38.8247,-104.5620
80118,Larkspur,CO,39.2067,-104.9098
81251,Twin Lakes,CO,39.0964,-106.3292
80501,Longmont,CO,40.1715,-105.1003
81015,Pueblo,CO,38.1286,-104.5523
81074,Starkville,CO,37.1210,-104.5232
80010,Aurora,CO,39.7394,-104.8621
80906,Colorado Springs,CO,38.7912,-104.8249
81526,Palisade,CO,39.1013,-108.3670
80294,Denver,CO,39.7494,-104.9895
81036,Eads,CO,38.4676,-102.8044
80111,Englewood,CO,39.6104,-104.8814
81643,Mesa,CO,39.1023,-108.1603
80207,Denver,CO,39.7594,-104.9195
80482,Winter Park,CO,39.9155,-105.7836
80823,Karval,CO,38.7100,-103.5447
81223,Cotopaxi,CO,38.3573,-105.5319
81027,Branson,CO,37.0955,-103.8430
80448,Grant,CO,39.4591,-105.7287
80649,Orchard,CO,40.3103,-104.1569
81121,Arboles,CO,37.0391,-107.4227
81413,Cedaredge,CO,38.9419,-107.9267
80225,Denver,CO,39.6971,-105.1204
80423,Bond,CO,39.8716,-106.5727
80131,Louviers,CO,39.3479,-104.9947
80634,Greeley,CO,40.4079,-104.7550
80818,Genoa,CO,39.3869,-103.4822
80861,Vona,CO,39.3648,-102.7539
81426,Ophir,CO,37.8601,-107.8698
81022,Avondale,CO,38.0897,-104.3781
81334,Towaoc,CO,37.1789,-108.8877
80632,Greeley,CO,40.3766,-104.7629
80822,Joes,CO,39.6340,-102.6980
80019,Aurora,CO,39.7840,-104.7229
80107,Elizabeth,CO,39.3972,-104.5870
81302,Durango,CO,37.3572,-107.9359
81148,Romeo,CO,37.1716,-105.9865
81423,Norwood,CO,38.0822,-108.2586
81505,Grand Junction,CO,39.1125,-108.6051
81624,Collbran,CO,39.2202,-107.9341
80402,Golden,CO,39.5220,-105.2239
80235,Denver,CO,39.6483,-105.0843
80620,Evans,CO,40.3780,-104.7036
81001,Pueblo,CO,38.2829,-104.5703
80202,Denver,CO,39.7516,-104.9970
80454,Indian Hills,CO,39.6313,-105.2607
81422,Naturita,CO,38.2962,-108.6808
80720,Akron,CO,40.1242,-103.1836
81658,Vail,CO,39.6242,-106.4973
80230,Denver,CO,39.7218,-104.8963
80836,Stratton,CO,39.2978,-102.5975
81290,Florence,CO,38.3584,-105.1069
81062,Olney Springs,CO,38.1939,-103.9228
80940,Colorado Springs,CO,38.8247,-104.5620
80946,Colorado Springs,CO,38.8247,-104.5620
80266,Denver,CO,39.7472,-104.9915
80329,Boulder,CO,40.0878,-105.3735
80640,Henderson,CO,39.8852,-104.8834
80538,Loveland,CO,40.4356,-105.0873
81429,Paradox,CO,38.3711,-108.9698
80835,Simla,CO,39.1728,-104.0879
80639,Greeley,CO,40.3993,-104.7017
80916,Colorado Springs,CO,38.8089,-104.7382
80727,Eckley,CO,40.0869,-102.4827
80046,Aurora,CO,39.7388,-104.4083
80813,Cripple Creek,CO,38.7560,-105.1497
81228,Granite,CO,39.0307,-106.2566
80734,Holyoke,CO,40.5830,-102.3045
81006,Pueblo,CO,38.2433,-104.5291
80433,Conifer,CO,39.5147,-105.3120
80291,Denver,CO,39.7439,-104.9876
80427,Central City,CO,39.8048,-105.5342
80646,Lucerne,CO,40.4824,-104.7054
81327,Lewis,CO,37.5348,-108.6519
81157,Pagosa Springs,CO,37.2704,-107.0932
80250,Denver,CO,39.7388,-104.4083
81329,Marvel,CO,37.0926,-108.1252
80011,Aurora,CO,39.7397,-104.8091
81320,Cahone,CO,37.6962,-108.7827
80116,Franktown,CO,39.3560,-104.7241
80446,Granby,CO,40.1424,-105.9550
80301,Boulder,CO,40.0444,-105.2193
80537,Loveland,CO,40.3836,-105.1035
80542,Mead,CO,40.2345,-104.9975
81141,Manassa,CO,37.1449,-105.9016
80234,Denver,CO,39.9091,-105.0083
80280,Denver,CO,39.7167,-104.9069
80430,Coalmont,CO,40.4369,-106.4942
80920,Colorado Springs,CO,38.9524,-104.7670
80302,Boulder,CO,40.0209,-105.2967
